127.0.0.1 - - [12/Sep/2022:01:13:28 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [12/Sep/2022:01:13:29 +0900] "GET /homeArt/ HTTP/1.1" 200 1303
0:0:0:0:0:0:0:1 - - [12/Sep/2022:01:13:29 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [12/Sep/2022:01:13:31 +0900] "GET /homeArt/home.do HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [12/Sep/2022:01:13:31 +0900] "GET /homeArt/home.do HTTP/1.1" 200 35432
0:0:0:0:0:0:0:1 - - [12/Sep/2022:01:13:31 +0900] "GET /homeArt/resources/images/%EB%A1%9C%EA%B3%A0.png HTTP/1.1" 200 4436
0:0:0:0:0:0:0:1 - - [12/Sep/2022:01:13:31 +0900] "GET /homeArt/resources/css/header.css HTTP/1.1" 200 2179
0:0:0:0:0:0:0:1 - - [12/Sep/2022:01:13:31 +0900] "GET /homeArt/resources/css/bootstrap.min.css HTTP/1.1" 200 193529
0:0:0:0:0:0:0:1 - - [12/Sep/2022:01:13:31 +0900] "GET /homeArt/resources/images/banner2.jpg.png HTTP/1.1" 200 607412
0:0:0:0:0:0:0:1 - - [12/Sep/2022:01:13:31 +0900] "GET /homeArt/resources/images/banner1.jpg.png HTTP/1.1" 200 685981
0:0:0:0:0:0:0:1 - - [12/Sep/2022:01:13:31 +0900] "GET /homeArt/images/%EB%A1%9C%EA%B3%A0.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Sep/2022:01:13:31 +0900] "GET /homeArt/resources/images/banner3.jpg.png HTTP/1.1" 200 842030
0:0:0:0:0:0:0:1 - - [12/Sep/2022:01:13:31 +0900] "GET /homeArt/resources/images/go-top9.jpg HTTP/1.1" 200 41304
0:0:0:0:0:0:0:1 - - [12/Sep/2022:01:13:31 +0900] "GET /homeArt/resources/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [12/Sep/2022:01:13:31 +0900] "GET /homeArt/resources/images/expert1.jpg HTTP/1.1" 200 158607
0:0:0:0:0:0:0:1 - - [12/Sep/2022:01:13:36 +0900] "GET /homeArt/loginView.me HTTP/1.1" 200 7817
0:0:0:0:0:0:0:1 - - [12/Sep/2022:01:13:36 +0900] "GET /homeArt/resources/css/loginFormCSS.css HTTP/1.1" 200 2116
0:0:0:0:0:0:0:1 - - [12/Sep/2022:01:13:36 +0900] "GET /homeArt/resources/css/reset.css HTTP/1.1" 200 677
0:0:0:0:0:0:0:1 - - [12/Sep/2022:01:13:36 +0900] "GET /homeArt/loginView.me HTTP/1.1" 200 7817
0:0:0:0:0:0:0:1 - - [12/Sep/2022:01:13:43 +0900] "POST /homeArt/login.me HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [12/Sep/2022:01:13:43 +0900] "GET /homeArt/home.do HTTP/1.1" 200 48318
0:0:0:0:0:0:0:1 - - [12/Sep/2022:01:13:43 +0900] "GET /homeArt/images/%EB%A1%9C%EA%B3%A0.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Sep/2022:01:13:43 +0900] "GET /homeArt/resources/muploadFiles/20220730171243607.jpg HTTP/1.1" 200 66101
0:0:0:0:0:0:0:1 - - [12/Sep/2022:01:13:43 +0900] "GET /homeArt/chat-manage.ch/info?t=1662912823685 HTTP/1.1" 200 78
